Zipcode,79901,79902,79903,79904,79905,79907,79911,79912,79915,79922,79924,79925,79927,79928,79930,79932,79934,79935,79936,79938
2020-03-01,0,1,0,2,1,1,1,1,1,0,1,2,2,3,0,1,1,1,2,2
2020-04-01,2,3,1,9,2,5,4,8,2,2,4,5,8,13,3,6,4,4,14,11
2020-05-01,4,13,43,29,45,45,8,73,43,7,42,41,53,70,31,45,29,30,134,152
2020-06-01,54,130,80,80,116,166,15,214,114,20,156,141,179,223,83,91,51,51,317,377
2020-07-01,183,198,176,177,207,398,38,482,258,34,308,337,421,536,176,166,109,136,846,906
2020-08-01,388,381,318,342,416,967,143,1053,596,92,709,769,875,1346,425,381,283,306,2146,1975
2020-09-01,486,516,400,516,581,1388,191,1475,822,154,1042,1037,1189,1875,557,592,404,441,2983,2559
2020-10-01,568,627,457,638,759,1631,228,1838,1032,189,1303,1274,1490,2332,657,732,515,517,3557,3033
2020-11-01,1207,1230,1085,1397,1721,3649,406,3863,2420,382,2948,2569,3322,5438,1472,1639,1084,1049,7190,5973
2020-12-01,1763,1913,1828,2441,2872,6145,594,6167,4098,604,5056,3982,5434,8705,2444,2606,1893,1684,11346,9353
2021-01-01,1918,2134,2067,2792,3191,6857,691,7027,4624,711,5803,4492,6032,9745,2747,3008,2244,1891,12665,10531
2021-02-01,2047,2401,2368,3301,3552,7729,826,8189,5269,845,6796,5248,6822,11352,3113,3479,2726,2213,14727,12309
2021-03-01,2143,2571,2526,3638,3761,8294,908,8836,5674,932,7510,5695,7347,12360,3341,3801,3101,2389,15973,13486
2021-04-01,2237,2661,2620,3840,3910,8676,961,9235,5947,971,7951,5980,7671,12972,3503,3969,3280,2563,16737,14182
2021-05-01,2331,2735,2927,3989,4030,8921,991,9520,6144,1009,8251,6226,7864,13440,3598,4105,3453,2671,17323,14770
2021-06-01,2378,2742,3359,4043,4077,9034,1003,9608,6216,1022,8371,6352,7943,13597,3643,4144,3501,2710,17518,14997
2021-07-01,2397,2754,3364,4058,4094,9057,1008,9655,6237,1027,8415,6431,7966,13645,3658,4156,3520,2718,17571,15076
2021-08-01,2425,2798,3399,4097,4127,9123,1025,9820,6278,1052,8515,6638,8053,13844,3684,4224,3589,2734,17736,15267
2021-09-01,2482,2841,3489,4220,4204,9314,1080,10134,6399,1082,8788,6951,8219,14205,3764,4375,3754,2869,18146,15783
2021-10-01,2543,2902,3538,4303,4256,9427,1114,10378,6488,1107,9015,7077,8373,14529,3838,4459,3869,3015,18549,16197
2021-11-01,2590,3000,3619,4451,4339,9646,1144,10759,6654,1137,9375,7257,8595,15058,3934,4619,4050,3097,19114,16754
2021-12-01,2684,3373,3812,4862,4570,10262,1296,11801,7012,1253,10196,7722,9169,16503,4237,5178,4423,3389,20763,18369
2022-01-01,2834,3707,4118,5309,4861,11121,1437,13006,7638,1397,11152,8298,9849,18021,4632,5704,4861,3712,22914,20058
2022-02-01,3422,4681,5045,6871,5891,13742,2061,17423,9439,1835,14343,10371,12017,23183,5801,7596,6449,4612,29799,25923
2022-03-01,3566,4862,5306,7259,6091,14298,2198,18276,9834,1936,15033,10805,12489,24243,6034,7952,6883,4804,31162,27195
2022-04-01,3615,4982,5419,7474,6184,14490,2294,18698,9986,1987,15373,10993,12689,24737,6148,8154,7150,4899,31809,27866
