zip code,date,Cumulative Positive Curve,Cumulative Recovery Curve,Cumulative Death Curve
79901,4/23/20,2,2,0
79901,5/3/20,4,4,0
79901,5/4/20,5,5,0
79901,5/5/20,6,6,0
79901,5/6/20,9,8,1
79901,5/7/20,11,10,1
79901,5/10/20,14,13,1
79901,5/11/20,15,14,1
79901,5/12/20,19,17,2
79901,5/13/20,20,18,2
79901,5/15/20,21,19,2
79901,5/17/20,23,19,4
79901,5/18/20,26,22,4
79901,5/19/20,28,24,4
79901,5/20/20,33,29,4
79901,5/21/20,39,35,4
79901,5/22/20,42,38,4
79901,5/23/20,43,39,4
79901,5/25/20,44,40,4
79901,5/26/20,46,42,4
79901,5/27/20,47,43,4
79901,5/28/20,49,45,4
79901,5/29/20,50,46,4
79901,5/31/20,52,48,4
79901,6/2/20,54,50,4
79901,6/3/20,55,51,4
79901,6/4/20,58,54,4
79901,6/5/20,59,55,4
79901,6/6/20,62,58,4
79901,6/9/20,65,61,4
79901,6/10/20,68,64,4
79901,6/11/20,69,65,4
79901,6/13/20,71,67,4
79901,6/14/20,73,69,4
79901,6/16/20,79,75,4
79901,6/17/20,86,82,4
79901,6/18/20,90,86,4
79901,6/19/20,92,88,4
79901,6/21/20,95,91,4
79901,6/22/20,96,92,4
79901,6/23/20,98,94,4
79901,6/24/20,107,101,6
79901,6/25/20,122,116,6
79901,6/26/20,128,122,6
79901,6/27/20,135,129,6
79901,6/28/20,140,133,7
79901,6/29/20,161,153,8
79901,6/30/20,180,172,8
79901,7/1/20,183,175,8
79901,7/2/20,259,251,8
79901,7/3/20,281,273,8
79901,7/4/20,282,274,8
79901,7/5/20,284,276,8
79901,7/6/20,292,284,8
79901,7/7/20,295,286,9
79901,7/8/20,301,292,9
79901,7/9/20,306,297,9
79901,7/10/20,308,299,9
79901,7/12/20,312,303,9
79901,7/13/20,315,306,9
79901,7/14/20,319,310,9
79901,7/15/20,321,312,9
79901,7/16/20,334,324,10
79901,7/17/20,339,328,11
79901,7/18/20,342,331,11
79901,7/19/20,347,336,11
79901,7/20/20,352,341,11
79901,7/22/20,358,347,11
79901,7/23/20,360,348,12
79901,7/24/20,365,353,12
79901,7/25/20,366,354,12
79901,7/26/20,370,357,13
79901,7/27/20,374,361,13
79901,7/29/20,381,368,13
79901,7/30/20,382,369,13
79901,7/31/20,384,371,13
79901,8/1/20,388,375,13
79901,8/2/20,391,378,13
79901,8/3/20,395,382,13
79901,8/4/20,401,388,13
79901,8/5/20,405,392,13
79901,8/6/20,409,395,14
79901,8/7/20,410,396,14
79901,8/8/20,412,398,14
79901,8/9/20,421,407,14
79901,8/10/20,422,408,14
79901,8/11/20,425,411,14
79901,8/12/20,428,414,14
79901,8/13/20,431,417,14
79901,8/14/20,433,419,14
79901,8/15/20,435,421,14
79901,8/16/20,439,425,14
79901,8/17/20,440,426,14
79901,8/18/20,446,432,14
79901,8/19/20,448,433,15
79901,8/20/20,450,435,15
79901,8/21/20,451,436,15
79901,8/22/20,455,440,15
79901,8/23/20,456,441,15
79901,8/24/20,465,450,15
79901,8/25/20,466,451,15
79901,8/27/20,479,464,15
79901,8/28/20,482,467,15
79901,8/29/20,484,469,15
79901,8/30/20,485,470,15
79901,9/1/20,486,471,15
79901,9/2/20,491,476,15
79901,9/3/20,493,478,15
79901,9/5/20,495,479,16
79901,9/8/20,497,481,16
79901,9/9/20,498,482,16
79901,9/10/20,501,485,16
79901,9/12/20,503,487,16
79901,9/13/20,504,488,16
79901,9/14/20,506,489,17
79901,9/15/20,512,495,17
79901,9/16/20,513,496,17
79901,9/18/20,521,503,18
79901,9/19/20,522,504,18
79901,9/20/20,525,507,18
79901,9/21/20,529,510,19
79901,9/22/20,535,516,19
79901,9/23/20,538,519,19
79901,9/24/20,541,522,19
79901,9/25/20,543,524,19
79901,9/26/20,545,526,19
79901,9/27/20,548,529,19
79901,9/28/20,559,539,20
79901,9/29/20,561,541,20
79901,9/30/20,566,546,20
79901,10/1/20,568,547,21
79901,10/2/20,572,550,22
79901,10/3/20,579,557,22
79901,10/4/20,598,576,22
79901,10/5/20,604,582,22
79901,10/6/20,613,591,22
79901,10/7/20,623,600,23
79901,10/8/20,631,608,23
79901,10/9/20,648,625,23
79901,10/10/20,652,629,23
79901,10/11/20,661,637,24
79901,10/12/20,663,639,24
79901,10/13/20,675,651,24
79901,10/14/20,693,669,24
79901,10/15/20,701,676,25
79901,10/16/20,721,695,26
79901,10/17/20,742,714,28
79901,10/18/20,767,739,28
79901,10/19/20,788,760,28
79901,10/20/20,812,782,30
79901,10/21/20,836,806,30
79901,10/22/20,862,828,34
79901,10/23/20,884,850,34
79901,10/24/20,925,889,36
79901,10/25/20,962,925,37
79901,10/26/20,999,957,42
79901,10/27/20,1044,1001,43
79901,10/28/20,1074,1030,44
79901,10/29/20,1107,1062,44
79901,10/30/20,1144,1099,44
79901,10/31/20,1165,1118,45
79901,11/1/20,1207,1158,47
79901,11/2/20,1258,1207,49
79901,11/3/20,1296,1245,49
79901,11/4/20,1320,1269,49
79901,11/5/20,1338,1287,49
79901,11/6/20,1361,1306,53
79901,11/7/20,1378,1323,53
79901,11/8/20,1397,1340,55
79901,11/9/20,1439,1382,55
79901,11/10/20,1458,1401,55
79901,11/11/20,1487,1429,56
79901,11/12/20,1496,1437,57
79901,11/13/20,1515,1456,57
79901,11/14/20,1548,1488,58
79901,11/15/20,1564,1504,58
79901,11/16/20,1586,1525,59
79901,11/17/20,1608,1546,60
79901,11/18/20,1619,1555,62
79901,11/19/20,1634,1568,64
79901,11/20/20,1656,1590,64
79901,11/21/20,1665,1599,64
79901,11/22/20,1707,1639,66
79901,11/23/20,1711,1643,66
79901,11/24/20,1723,1655,66
79901,11/25/20,1733,1665,66
79901,11/26/20,1737,1669,66
79901,11/27/20,1739,1671,66
79901,11/28/20,1742,1674,66
79901,11/29/20,1747,1679,66
79901,11/30/20,1754,1686,66
79901,12/1/20,1763,1694,67
79901,12/2/20,1772,1703,67
